#{"t_start": 1755881919.4062374, "env_id": "None"}
r,l,t
-1.8185453e-11,182,0.487929
-1.8185453e-11,182,0.0.1587135,856,1.479675
0.28972083,856,2.460475
0.29655898,856,3.9744
0.26429725,856,5.073024
0.46237192,856,6.193128
0.65419346,856,7.872029
0.22863896,856,9.213456
0.12941201,856,10.885091
0.22604051,856,12.073927
0.15047124,856,13.765441
0.11838998,856,15.01384
0.29955137,856,16.295838
0.37551197,856,17.793954
0.3596259,856,19.339442
0.3532697,856,21.752926
0.33150804,856,23.877507
0.4578803,856,26.704591
0.27009585,856,28.733204
0.4570624,856,30.681155
0.17894734,856,33.409981
0.29866922,856,35.596202
143629
-0.053771004,182,13.222326
-0.053771004,182,13.29578
-0.053771004,182,13.367208
-0.042213365,182,16.385933
-0.042213365,182,16.483952
-0.042213365,182,16.558964
-0.042213365,182,16.626744
-0.042213365,182,16.696361
0.058099553,182,20.076797
0.058099553,182,20.198113
0.058099553,182,20.316069
0.058099553,182,20.431048
0.058099553,182,20.543597
-0.09051043,182,25.567199
-0.09051043,182,25.697905
-0.09051043,182,25.813017
-0.09051043,182,25.928689
-0.09051043,182,26.04448
-0.096787944,182,30.914593
-0.096787944,182,31.044938
-0.096787944,182,31.159487
-0.096787944,182,31.295769
-0.096787944,182,31.418168
0.036426134,182,36.326947
0.036426134,182,36.450554
0.036426134,182,36.566144
0.036426134,182,36.691049
0.036426134,182,36.820445
