#{"t_start": 1755881385.247485, "env_id": "None"}
r,l,t
-0.06618297,182,1.656098
-0.06618297,182,1.73096
-00.26070234,856,2.679328
0.012765071,856,3.736343
0.16725723,856,5.53582
0.1449164,856,7.473115
0.25976673,856,9.137467
0.30200663,856,11.754782
0.22114298,856,13.594126
0.22934492,856,16.065898
0.10058872,856,17.833799
0.25584787,856,20.261305
0.37521318,856,22.112333
0.29460868,856,23.970673
0.389736,856,26.625954
0.3447393,856,28.549293
0.40809527,856,31.263776
0.25908145,856,33.057966
0.24564207,856,35.268957
0.14733462,856,37.18084
0.2391307,856,39.03282
0.22657396,856,41.590451
0.33797136,856,43.345808
182,19.415297
-0.08301505,182,19.531937
-0.08301505,182,19.647812
-0.0026191287,182,24.119869
-0.0026191287,182,24.233427
-0.0026191287,182,24.355686
-0.0026191287,182,24.490417
-0.0026191287,182,24.618803
-0.004369432,182,29.397433
-0.004369432,182,29.528316
-0.004369432,182,29.704474
-0.004369432,182,29.822189
-0.004369432,182,29.942027
-0.11645501,182,34.309915
-0.11645501,182,34.431519
-0.11645501,182,34.542664
-0.11645501,182,34.653888
-0.11645501,182,34.766346
-0.024315974,182,39.250458
-0.024315974,182,39.362587
-0.024315974,182,39.474846
-0.024315974,182,39.585903
-0.024315974,182,39.697699
-0.009339873,182,44.043177
-0.009339873,182,44.166955
-0.009339873,182,44.279466
-0.009339873,182,44.391441
-0.009339873,182,44.505186
